symbol,open,close,low,high,volume,date
VC9,5100.0,5900.0,5100.0,6000.0,3300.0,2022-11-24
VCC,14700.0,14700.0,14700.0,14700.0,0.0,2022-11-24
VCM,19500.0,19500.0,19500.0,19500.0,18700.0,2022-11-24
VCS,45300.0,44600.0,43800.0,45700.0,53400.0,2022-11-24
VDL,20200.0,20200.0,20200.0,20200.0,2800.0,2022-11-24
VE1,3600.0,3600.0,3600.0,3600.0,0.0,2022-11-24
VE2,6200.0,6200.0,6200.0,6200.0,0.0,2022-11-24
VE3,10300.0,10300.0,10300.0,10300.0,100.0,2022-11-24
VE4,87000.0,87000.0,87000.0,87000.0,0.0,2022-11-24
VE8,4100.0,4500.0,4100.0,4500.0,200.0,2022-11-24
VGP,26800.0,26800.0,26800.0,26800.0,0.0,2022-11-24
VGS,7600.0,8500.0,7400.0,8600.0,457900.0,2022-11-24
VHE,2700.0,2800.0,2700.0,2800.0,11300.0,2022-11-24
VHL,15300.0,15300.0,15300.0,15300.0,0.0,2022-11-24
VHM,44350.0,45000.0,44200.0,45500.0,1182600.0,2022-11-24
VHM,44350.0,45000.0,44200.0,45500.0,1182600.0,2022-11-24
VIC,60000.0,61000.0,60000.0,62100.0,1141700.0,2022-11-24
VIC,60000.0,61000.0,60000.0,62100.0,1141700.0,2022-11-24
VIC,60000.0,61000.0,60000.0,62100.0,1141700.0,2022-11-24
VIF,12100.0,12100.0,12100.0,12100.0,0.0,2022-11-24
VIG,3700.0,4100.0,3700.0,4100.0,114900.0,2022-11-24
VIT,16200.0,16200.0,16200.0,16200.0,100.0,2022-11-24
VKC,1400.0,1400.0,1300.0,1500.0,29800.0,2022-11-24
VLA,63300.0,63300.0,63300.0,63300.0,0.0,2022-11-24
VMC,6700.0,6700.0,6700.0,6700.0,0.0,2022-11-24
VMS,10800.0,10800.0,10500.0,10800.0,1500.0,2022-11-24
VNC,34000.0,34000.0,34000.0,34000.0,0.0,2022-11-24
VND,10400.0,10550.0,10100.0,10800.0,14875700.0,2022-11-24
VND,10400.0,10550.0,10100.0,10800.0,14875700.0,2022-11-24
VND,10400.0,10550.0,10100.0,10800.0,14875700.0,2022-11-24
VNF,10700.0,10700.0,10700.0,10700.0,100.0,2022-11-24
VNG,8180.0,8200.0,7740.0,8200.0,14800.0,2022-11-24
VNR,20700.0,20700.0,20700.0,20700.0,100.0,2022-11-24
VNT,83300.0,68700.0,68500.0,83400.0,3200.0,2022-11-24
VNT,83300.0,68700.0,68500.0,83400.0,3200.0,2022-11-24
VRE,26000.0,27100.0,26000.0,27550.0,1209600.0,2022-11-24
VSA,19500.0,19500.0,19500.0,19500.0,0.0,2022-11-24
VSM,17600.0,17600.0,17600.0,17600.0,0.0,2022-11-24
VTC,10000.0,10000.0,10000.0,10000.0,0.0,2022-11-24
VTH,7500.0,7500.0,7500.0,7500.0,100.0,2022-11-24
VTJ,2900.0,2900.0,2900.0,2900.0,200.0,2022-11-24
VTL,15300.0,15300.0,15300.0,15300.0,0.0,2022-11-24
VTV,4300.0,4300.0,4200.0,4300.0,7600.0,2022-11-24
